Latitude,Longitude,Street Address,Suburb,Postcode,Region,Bedrooms,Bathrooms,Parking Spaces,Property Type,Price,Listing Id,Title,Date Sold,Modified Date
-37.80182,144.97482,3 King William Street,Fitzroy,3065,melbourne_city___greater_region,4,2,1,house,"$2,670,000 ",129501914,An Exemplar Of The Classical,2018/10/27,2018/11/3 обнГ 01:55:43
-37.97285,145.01525,8 Gordon Crescent,Black Rock,3193,bayside,3,2,2,house,"$2,630,000 ",129476554,"Custom Fasham Design, Steps to the Bay",2018/10/27,2018/11/1 обнГ 01:56:00
-37.81521,145.23209,12-14 Pitt Street,Ringwood,3134,eastern_melbourne,7,3,1,house,"$2,550,000 ",129440690,"1,607sqm Approx. With RGZ1 Zoning",2018/10/27,2018/10/28 ионГ 02:00:14
-37.81916,145.09303,16 Wandsworth Road,Surrey Hills,3127,inner_east_melbourne,4,2,2,house,"$2,450,000 ",129435258,Flawless brilliance for a life of luxury,2018/10/27,2018/10/29 ионГ 02:00:22
-37.86576,145.05906,5 Stanley Street,Malvern East,3145,inner_east_melbourne,5,2,2,house,"$2,335,000 ",129422782,Timeless Elegance In An Exceptional Family Setting,2018/10/27,2018/10/29 ионГ 02:00:21
-37.82113,145.08389,1/27 Faversham Road,Canterbury,3126,inner_east_melbourne,4,3,3,townhouse,"$2,295,000 ",129464382,A striking statement in style,2018/10/27,2018/11/1 обнГ 01:55:35
-37.79937,144.96927,19 Moton Place,Carlton,3053,melbourne_city___greater_region,3,3,1,townhouse,"$2,250,000 ",129432478,Lifestyle Living - Right in the heart of Carlton,2018/10/27,2018/10/29 ионГ 02:00:22
-37.82803,144.99019,33 Kelso Street,Richmond,3121,inner_east_melbourne,3,2,2,house,"$2,200,000 ",129472114,"Cutting edge design, prominent position",2018/10/27,2018/11/1 обнГ 01:55:47
-37.33547,144.14869,43 Jamieson Street,Daylesford,3460,western_region,13,5,5,house,"$2,001,888 ",129416910,"Developers, Investors and Owner Occupiers 11,370 sqm (2.8 acres) in the heart of Daylesford!",2018/10/27,2018/10/30 ионГ 02:00:26
-37.83911,144.94591,49 Cruikshank Street,Port Melbourne,3207,melbourne_city___greater_region,3,2,1,house,"$1,990,000 ",129463166,"Sustainable Living, Innovative Design",2018/10/27,2018/10/31 обнГ 01:55:41
